price_id,material_id,city,price_min,price_max,price_avg,confidence_score,last_updated,source_notes
P000001,M0001,Lahore,265,324,294,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000002,M0001,Karachi,293,358,326,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000003,M0001,Islamabad,288,352,320,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000004,M0001,Rawalpindi,286,349,318,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000005,M0001,Faisalabad,261,319,290,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000006,M0002,Lahore,58.0,70.9,64.4,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000007,M0002,Karachi,63.4,77.4,70.4,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000008,M0002,Islamabad,60.8,74.3,67.5,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000009,M0002,Rawalpindi,60.2,73.6,66.9,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000010,M0002,Faisalabad,56.0,68.5,62.2,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000011,M0003,Lahore,172.8,211,192.0,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000012,M0003,Karachi,190.1,232,211,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000013,M0003,Islamabad,178.9,219,198.8,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000014,M0003,Rawalpindi,184.3,225,205,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000015,M0003,Faisalabad,163.4,199.7,181.6,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000016,M0004,Lahore,21.6,26.4,24.0,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000017,M0004,Karachi,23.2,28.3,25.7,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000018,M0004,Islamabad,22.8,27.8,25.3,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000019,M0004,Rawalpindi,22.0,26.9,24.5,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000020,M0004,Faisalabad,20.3,24.8,22.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000021,M0005,Lahore,161.2,197.0,179.1,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000022,M0005,Karachi,168.6,206,187.3,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000023,M0005,Islamabad,167.2,204,185.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000024,M0005,Rawalpindi,170.8,209,189.8,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000025,M0005,Faisalabad,149.5,182.8,166.1,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
